n,Theoretical_Moves,Iterative_Time_ms,Recursive_Time_ms
1,1,0.0268,0.0002
2,3,0.0009,0.0003
3,7,0.0014,0.0004
4,15,0.0017,0.0007
5,31,0.0017,0.0009
6,63,0.0293,0.0021
7,127,0.0059,0.0034
8,255,0.0095,0.0059
9,511,0.0108,0.0066
10,1023,0.0431,0.0109
11,2047,0.0971,0.0609
12,4095,0.1122,0.0586
13,8191,0.2143,0.1543
14,16383,0.4972,0.2661
15,32767,0.8827,0.5093
16,65535,0.8317,0.4296
17,131071,1.7807,2.9819
18,262143,5.1899,1.8984
19,524287,8.0983,3.4668
20,1048575,13.1353,6.1904
21,2097151,26.4599,14.2316
22,4194303,49.2332,25.7211
23,8388607,113.668,55.0365
24,16777215,199.97,109.674
25,33554431,400.216,228.29
